datetime,heat loss,m_HP,abs m_HP,COP
2019/10/5,-4109801866,-0.56627561,0.56627561,4.82982156
2019/10/6,-3681376224,-0.5072443,0.5072443,4.87036486
2019/10/7,-3895908425,-0.53680396,0.53680396,4.84995625
2019/10/8,-4022620214,-0.55426315,0.55426315,4.83800285
2019/10/9,-4631322256,-0.63813413,0.63813413,4.78160028
2019/10/10,-4031708860,-0.55551544,0.55551544,4.83714833
2019/10/11,-3109558025,-0.42845542,0.42845542,4.92583447
2019/10/12,-4555966794,-0.62775116,0.62775116,4.78849267
2019/10/13,-4172363873,-0.57489582,0.57489582,4.82397207
2019/10/14,-4682404828,-0.64517262,0.64517262,4.77694225
2019/10/15,-4753836477,-0.65501495,0.65501495,4.77044787
2019/10/16,-4587266047,-0.63206377,0.63206377,4.78562684
2019/10/17,-5184908412,-0.71441088,0.71441088,4.73172518
2019/10/18,-4583068480,-0.63148541,0.63148541,4.78601092
2019/10/19,-5226519081,-0.72014427,0.72014427,4.72802939
2019/10/20,-5646202833,-0.77797107,0.77797107,4.69115902
2019/10/21,-5059693147,-0.6971579,0.6971579,4.74289091
2019/10/22,-5685386213,-0.78337001,0.78337001,4.68775384
2019/10/23,-5079348714,-0.69986617,0.69986617,4.74113376
2019/10/24,-4809353870,-0.6626645,0.6626645,4.76541579
2019/10/25,-3821702731,-0.52657941,0.52657941,4.8569911
2019/10/26,-4132906738,-0.56945915,0.56945915,4.82765919
2019/10/27,-6685940309,-0.92123296,0.92123296,4.60288158
2019/10/28,-6986084638,-0.96258882,0.96258882,4.57817826
2019/10/29,-6320660683,-0.87090232,0.87090232,4.63340992
2019/10/30,-6235358811,-0.85914887,0.85914887,4.6406137
2019/10/31,-6021976378,-0.82974763,0.82974763,4.65875968
2019/11/1,-3648726449,-0.5027456,0.5027456,4.87348984
2019/11/2,-4964609118,-0.68405659,0.68405659,4.75141452
2019/11/3,-5882471134,-0.81052567,0.81052567,4.67072128
2019/11/4,-5757073366,-0.79324754,0.79324754,4.6815402
2019/11/5,-5528305936,-0.76172646,0.76172646,4.70144272
2019/11/6,-6870688032,-0.94668872,0.94668872,4.58763576
2019/11/7,-6745454517,-0.92943322,0.92943322,4.5979562
2019/11/8,-7209048475,-0.99331025,0.99331025,4.56004545
2019/11/9,-7627162701,-1.05092079,1.05092079,4.52653257
2019/11/10,-6718626585,-0.92573669,0.92573669,4.60017481
2019/11/11,-6792686277,-0.93594112,0.93594112,4.59405689
2019/11/12,-7082190684,-0.97583095,0.97583095,4.57033971
2019/11/13,-6977580001,-0.961417,0.961417,4.57887357
2019/11/14,-7321999542,-1.00887339,1.00887339,4.55092951
2019/11/15,-6797157599,-0.93655721,0.93655721,4.59368819
2019/11/16,-7257758509,-1.00002184,1.00002184,4.55610847
2019/11/17,-7063119127,-0.97320314,0.97320314,4.57189249
2019/11/18,-7526913839,-1.03710784,1.03710784,4.53451013
2019/11/19,-7771011515,-1.07074123,1.07074123,4.51514815
2019/11/20,-7226167250,-0.99566899,0.99566899,4.55866083
2019/11/21,-7403961611,-1.02016667,1.02016667,4.54434378
2019/11/22,-6123302008,-0.84370894,0.84370894,4.65012048
2019/11/23,-5891121773,-0.81171762,0.81171762,4.66997727
2019/11/24,-5858563249,-0.80723149,0.80723149,4.67277907
2019/11/25,-5062211688,-0.69750492,0.69750492,4.74266567
2019/11/26,-4898616056,-0.67496363,0.67496363,4.75735318
2019/11/27,-5623262214,-0.77481016,0.77481016,4.69315556
2019/11/28,-6150275942,-0.84742559,0.84742559,4.64782751
2019/11/29,-8311293207,-1.1451848,1.1451848,4.47303801
2019/11/30,-8664837895,-1.19389852,1.19389852,4.44602422
2019/12/1,-8411286566,-1.15896254,1.15896254,4.46535482
2019/12/2,-8752129049,-1.20592607,1.20592607,4.43941901
2019/12/3,-8002443489,-1.10262945,1.10262945,4.49698571
2019/12/4,-8042703636,-1.10817676,1.10817676,4.4938453
2019/12/5,-6844517111,-0.94308271,0.94308271,4.58978761
2019/12/6,-4976526559,-0.68569866,0.68569866,4.75034407
2019/12/7,-5863180573,-0.80786769,0.80786769,4.67238147
2019/12/8,-5888548482,-0.81136305,0.81136305,4.67019856
2019/12/9,-7072864784,-0.97454596,0.97454596,4.57109885
2019/12/10,-6400706471,-0.88193156,0.88193156,4.62667589
2019/12/11,-7582339980,-1.04474482,1.04474482,4.530095
2019/12/12,-7011616799,-0.96610681,0.96610681,4.57609247
2019/12/13,-7117048745,-0.98063392,0.98063392,4.56750512
2019/12/14,-7221987933,-0.99509313,0.99509313,4.55899877
2019/12/15,-6886456285,-0.94886137,0.94886137,4.58634051
2019/12/16,-6923942388,-0.95402645,0.95402645,4.58326502
2019/12/17,-7249107869,-0.9988299,0.9988299,4.55680702
2019/12/18,-6462501965,-0.89044615,0.89044615,4.62149426
2019/12/19,-4895915013,-0.67459146,0.67459146,4.75759664
2019/12/20,-6474127402,-0.89204798,0.89204798,4.6205211
2019/12/21,-6096109071,-0.83996212,0.83996212,4.65243499
2019/12/22,-6396235149,-0.88131547,0.88131547,4.62705139
2019/12/23,-6330114335,-0.87220491,0.87220491,4.6326133
2019/12/24,-5807936935,-0.80025586,0.80025586,4.67714418
2019/12/25,-7649373309,-1.05398111,1.05398111,4.52476998
2019/12/26,-6514241547,-0.89757517,0.89757517,4.6171672
2019/12/27,-6853770009,-0.94435764,0.94435764,4.58902651
2019/12/28,-6039514910,-0.8321642,0.8321642,4.65726139
2019/12/29,-6928961219,-0.95471798,0.95471798,4.58285366
2019/12/30,-7069214725,-0.97404303,0.97404303,4.57139605
2019/12/31,-6331373605,-0.87237842,0.87237842,4.63250722
