,T_BTES_final6
1439,23.77645065
1440,23.76199221
1441,23.74731636
1442,23.73242412
1443,23.71822377
1444,23.70394612
1445,23.68899796
1446,23.67567183
1447,23.66557612
1448,23.65222602
1449,23.63965542
1450,23.62646594
1451,23.6134128
1452,23.60143643
1453,23.58566289
1454,23.57223008
1455,23.55809713
1456,23.54564323
1457,23.53135523
1458,23.51677802
1459,23.50372229
1460,23.48988186
1461,23.47152043
1462,23.45285273
1463,23.43264004
1464,23.41405743
1465,23.39803698
1466,23.38480697
1467,23.36951502
1468,23.3516969
1469,23.33428665
1470,23.31933661
1471,23.30628291
1472,23.29467064
1473,23.28000853
1474,23.26630366
1475,23.25282809
1476,23.23501396
1477,23.21687682
1478,23.20007815
1479,23.1808522
1480,23.16339961
1481,23.14590871
1482,23.12619409
1483,23.10773086
1484,23.09422458
1485,23.0815701
1486,23.06590777
1487,23.04678757
1488,23.0286951
1489,23.00915973
1490,22.98951612
1491,22.9706638
1492,22.95113231
1493,22.93189699
1494,22.91732237
1495,22.90282811
1496,22.89008812
1497,22.8764922
1498,22.86470697
1499,22.85145889
1500,22.83664083
1501,22.8215947
1502,22.80676998
1503,22.79385293
1504,22.77948134
1505,22.76598523
1506,22.75483608
1507,22.74330751
1508,22.73029679
1509,22.71644654
1510,22.70418487
1511,22.69302564
1512,22.68040013
1513,22.66872957
1514,22.65595466
1515,22.64260813
1516,22.63043701
1517,22.61780499
1518,22.60569879
1519,22.59349655
1520,22.68431111
1521,22.77487493
1522,22.86194686
1523,22.95026077
1524,23.04126817
1525,23.1292424
1526,23.21746406
1527,23.30638243
1528,23.3938657
1529,23.48126944
1530,23.56939394
1531,23.65802475
1532,23.74826304
1533,23.8400849
1534,23.93116351
1535,24.01820778
1536,24.10576435
1537,24.19537303
1538,24.28657906
1539,24.37895052
1540,24.47032078
1541,24.55996717
1542,24.64867597
1543,24.73715768
1544,24.8252083
1545,24.91438744
1546,25.00459671
1547,25.09505376
1548,25.18691853
1549,25.27612713
1550,25.26328598
1551,25.2487426
1552,25.23296959
1553,25.2180964
1554,25.20552331
1555,25.19310596
1556,25.18216428
1557,25.17175282
1558,25.1601827
1559,25.14659991
1560,25.13151781
1561,25.11688566
1562,25.10151909
1563,25.08570118
1564,25.07326185
1565,25.06250028
1566,25.05269077
1567,25.04418604
1568,25.03647029
1569,25.02899412
1570,25.02177657
1571,25.01471155
1572,25.00786141
1573,24.99845679
1574,24.98845354
1575,24.97841374
1576,24.966568
1577,24.95612613
1578,24.94626024
1579,24.93717051
1580,24.92826886
1581,24.91824457
1582,24.90711074
1583,24.89372681
1584,24.88123531
1585,24.86911326
1586,24.8586784
1587,24.84863292
1588,24.83748855
1589,24.82697356
1590,24.81643008
1591,24.80638878
1592,24.79660621
1593,24.78748373
1594,24.77929276
1595,24.77007081
1596,24.76075094
1597,24.75297676
1598,24.745742
1599,24.73887832
1600,24.73137332
1601,24.7243358
1602,24.71809028
1603,24.71209702
1604,24.70693455
1605,24.70088991
1606,24.69328838
1607,24.68513523
1608,24.67690214
1609,24.67230488
1610,24.66757083
1611,24.66361361
1612,24.65916474
1613,24.65233677
1614,24.64582431
1615,24.63872508
