,Temp_out_BTES,Temp_into_BTES,,,,,
112,29.87927511,19.87927511, [ 1.96085357e+01],, [ 2.88770280e+11],,38.62717405
113,30.25534931,20.25534931, [ 1.94921784e+01],, [ 2.85429114e+11],,38.63850561
114,30.14755566,20.14755566, [ 1.93696160e+01],, [ 2.81064050e+11],,38.64659556
115,30.51016763,20.51016763, [ 1.92469057e+01],, [ 2.76466203e+11],,38.65447284
116,30.38251953,20.38251953, [ 1.91050191e+01],, [ 2.71862809e+11],,38.65262349
117,30.2699994,20.2699994, [ 1.89785140e+01],, [ 2.66540028e+11],,38.6583267
118,30.16368594,20.16368594, [ 1.88584561e+01],, [ 2.61794273e+11],,38.66711562
119,30.06573617,20.06573617, [ 1.87469853e+01],, [ 2.57290383e+11],,38.68006045
120,29.96981325,19.96981325, [ 1.86377603e+01],, [ 2.53108631e+11],,38.69399079
121,29.8617929,19.8617929, [ 1.85166805e+01],, [ 2.49011127e+11],,38.70185665
122,29.74181626,19.74181626, [ 1.83839104e+01],, [ 2.44468898e+11],,38.70374059
123,29.59759285,19.59759285, [ 1.82272076e+01],, [ 2.39488119e+11],,38.69352162
124,29.46298623,19.46298623, [ 1.80804158e+01],, [ 2.33609519e+11],,38.68812187
125,29.33236072,19.33236072, [ 1.79378907e+01],, [ 2.28102722e+11],,38.68471949
126,29.21991602,19.21991602, [ 1.78137951e+01],, [ 2.22755989e+11],,38.69039615
127,29.11166735,19.11166735, [ 1.76941354e+01],, [ 2.18100626e+11],,38.69815527
128,28.99157716,18.99157716, [ 1.75628971e+01],, [ 2.13611670e+11],,38.69998995
129,28.87826908,18.87826908, [ 1.74386898e+01],, [ 2.08688354e+11],,38.70520523
130,28.76465401,18.76465401, [ 1.73144246e+01],, [ 2.04028802e+11],,38.7102569
131,28.65645037,18.65645037, [ 1.71958085e+01],, [ 1.99367076e+11],,38.71799876
132,28.55103475,18.55103475, [ 1.70802121e+01],, [ 1.94917273e+11],,38.72711637
133,28.45273217,18.45273217, [ 1.69719457e+01],, [ 1.90580751e+11],,38.73976514
134,28.36446731,18.36446731, [ 1.68739135e+01],, [ 1.86519210e+11],,38.75739745
135,28.26509291,18.26509291, [ 1.67649900e+01],, [ 1.82841597e+11],,38.76945082
136,28.16466331,18.16466331, [ 1.66552313e+01],, [ 1.78755406e+11],,38.78095355
137,28.08088973,18.08088973, [ 1.65623148e+01],, [ 1.74637881e+11],,38.80074461
138,28.00292903,18.00292903, [ 1.64753854e+01],, [ 1.71152181e+11],,38.82339674
139,27.92896689,17.92896689, [ 1.63926204e+01],, [ 1.67891082e+11],,38.84799883
140,27.84809407,17.84809407, [ 1.63031241e+01],, [ 1.64786209e+11],,38.86910329
141,27.77225877,17.77225877, [ 1.62188342e+01],, [ 1.61428815e+11],,38.89267927
142,27.7049579,17.7049579, [ 1.61432303e+01],, [ 1.58266737e+11],,38.92046677
143,27.6403753,17.6403753, [ 1.60704904e+01],, [ 1.55430506e+11],,38.94955512
144,27.58474523,17.58474523, [ 1.60068306e+01],, [ 1.52701717e+11],,38.9830526
145,27.51960908,17.51960908, [ 1.59338110e+01],, [ 1.50313563e+11],,39.01173955
146,27.43769608,17.43769608, [ 1.58441942e+01],, [ 1.47574284e+11],,39.03199748
147,27.34983878,17.34983878, [ 1.57488243e+01],, [ 1.44212370e+11],,39.04924869
148,27.26112014,17.26112014, [ 1.56527854e+01],, [ 1.40634629e+11],,39.06603558
149,27.21158075,17.21158075, [ 1.55960395e+01],, [ 1.37031796e+11],,39.10233936
150,27.16056726,17.16056726, [ 1.55379360e+01],, [ 1.34903012e+11],,39.13783494
151,27.11792475,17.11792475, [ 1.54883029e+01],, [ 1.32723297e+11],,39.17743666
152,27.06998438,17.06998438, [ 1.54334818e+01],, [ 1.30861345e+11],,39.21431553
153,26.99640709,16.99640709, [ 1.53531847e+01],, [ 1.28804768e+11],,39.23832783
154,26.92622977,16.92622977, [ 1.52764414e+01],, [ 1.25792476e+11],,39.26398869
155,26.8497294,16.8497294, [ 1.51935411e+01],, [ 1.22913501e+11],,39.28644302
156,26.76574494,16.76574494, [ 1.51033375e+01],, [ 1.19803554e+11],,39.30511788
157,26.68106377,16.68106377, [ 1.50126191e+01],, [ 1.16419627e+11],,39.32340774
158,26.59388493,16.59388493, [ 1.49195893e+01],, [ 1.13016384e+11],,39.34041468
