,T_BTES_5
1137,47.405415427288865
1138,47.39249837478848
1139,47.37812679249476
1140,47.364630675311844
1141,47.353481525683435
1142,47.34195295641054
1143,47.328942234448974
1144,47.31509198724317
1145,47.302830319897794
1146,47.291671084527636
1147,47.27904557775169
1148,47.267375017770256
1149,47.25460010651288
1150,47.24125358198055
1151,47.22908246052834
1152,47.21645044317783
1153,47.20434423928928
1154,47.19214199503966
1155,47.36425882901236
1156,47.53612491183101
1157,47.70449910704414
1158,47.874115278771754
1159,48.04642494613897
1160,48.215701439059686
1161,48.38522537139727
1162,48.555446010333064
1163,48.72423153829515
1164,48.89293754694311
1165,49.06236430991317
1166,49.23229739226046
1167,49.403837946419266
1168,49.57696207520444
1169,49.74934294491029
1170,49.91768947959767
1171,50.08654831736403
1172,50.25745926522753
1173,50.42996756152613
1174,50.603641288062875
1175,50.77631381639296
1176,50.947262472893534
1177,51.117273531584026
1178,51.28705751051457
1179,51.45641039917715
1180,51.626891799739354
1181,51.79840333857064
1182,51.97016265551815
1183,52.14332968634362
1184,52.31384055383677
1185,52.300999407844394
1186,52.28645602921181
1187,52.27068301781086
1188,52.255809820313544
1189,52.24323673682494
1190,52.23081938022315
1191,52.21987770337015
1192,52.20946624308379
1193,52.1978961265681
1194,52.18431333973243
1195,52.16923123938856
1196,52.154599083633336
1197,52.13923251263855
1198,52.123414604622944
1199,52.11097527013248
1200,52.10021370659383
1201,52.09040419207701
1202,52.081899464172714
1203,52.07418371989136
1204,52.06670754965053
1205,52.059489995935806
1206,52.052424970274785
1207,52.04557483116207
1208,52.03617021408476
1209,52.02616696297509
1210,52.01612716986094
1211,52.0042814265341
1212,51.993839558483764
1213,51.98397366917837
1214,51.97488393052021
1215,51.96598228344826
1216,51.955957995282915
1217,51.944824162438415
1218,51.931440230333706
1219,51.91894873599443
1220,51.90682668845769
1221,51.896391820215776
1222,51.88634634446455
1223,51.87520197427487
1224,51.86468698458517
1225,51.85414350643223
1226,51.8441022079861
1227,51.83431963896586
1228,51.82519715927426
1229,51.81700618078268
1230,51.80778423608877
1231,51.7984643693635
1232,51.79069018045836
1233,51.783455428293685
1234,51.77659174116758
1235,51.769086743764134
1236,51.762049228098654
1237,51.7558037067286
1238,51.74981044184456
1239,51.74464797126052
1240,51.738603336826216
1241,51.731001809827845
1242,51.72284865287738
1243,51.71461556264405
1244,51.710018307660185
1245,51.70528425537527
1246,51.7013270311355
1247,51.69687816453493
1248,51.69005019148007
1249,51.68353773660842
1250,51.676438502212406
1251,51.668644743953166
1252,51.66078633156453
1253,51.652696135242316
1254,51.64490775855545
1255,51.63506772337487
1256,51.62563251036868
1257,51.61677948561305
1258,51.608373507673356
1259,51.60132970723289
1260,51.593910777352825
1261,51.587428504445576
1262,51.58199680472515
1263,51.576012797649625
1264,51.5703798346594
1265,51.563628031546806
1266,51.55754508634178
1267,51.552859167139324
1268,51.54857765614253
1269,51.54591095546545
1270,51.54317019231387
1271,51.53946161175739
1272,51.534908877054114
1273,51.53117195856887
1274,51.53092568578828
1275,51.52746973805187
1276,51.523113299010504
1277,51.518024928533535
1278,51.51387118283013
1279,51.51102293877056
1280,51.50900898891519
1281,51.50599267422013
1282,51.502187639333414
1283,51.49918491028558
1284,51.497287285180526
1285,51.49585834607945
1286,51.494233224214554
1287,51.4920031459089
1288,51.48927901670746
1289,51.485764248011925
1290,51.48175764878942
1291,51.4801082910336
1292,51.4780545250717
1293,51.47524523155118
1294,51.471635551493776
1295,51.469283955032886
1296,51.4664250607292
1297,51.4666483771534
1298,51.46894777612866
1299,51.470631831852906
1300,51.4745527775229
1301,51.4739260689939
1302,51.47042902561643
1303,51.46664254398142
1304,51.464325645488536
1305,51.46117964619678
1306,51.45807899511715
1307,51.45568257731141
1308,51.45398414563969
1309,51.45148175226092
1310,51.44918182641839
1311,51.446902561296625
1312,51.443733793815085
1313,51.44024845441582
1314,51.43777823756898
1315,51.43626266644726
1316,51.43318700392624
1317,51.42954059369862
1318,51.42373910847203
1319,51.41830025841298
1320,51.413471106600014
1321,51.40973813961899
1322,51.404909364135825
1323,51.40136851551418
1324,51.39634999257408
1325,51.390859471895816
1326,51.385174499587
1327,51.38048143004165
1328,51.37697065048375
1329,51.37494006667825
1330,51.37354480944406
1331,51.37447574614554
1332,51.37548379362445
1333,51.37630864185268
1334,51.37359027055682
1335,51.55170932615311
1336,51.73119025818522
1337,51.90904377271637
1338,52.08562580617166
1339,52.26267908470127
1340,52.44154346921464
1341,52.619431794614435
1342,52.79515085723524
1343,52.9705162038019
1344,53.14578174666689
1345,53.32028163859939
1346,53.49506863551696
1347,53.67116967685557
1348,53.84982387899128
1349,54.0293818089006
1350,54.206364976459064
1351,54.3830097071126
1352,54.56173157404933
1353,54.73967348936907
1354,54.91489974299564
1355,55.08988585808272
1356,55.266670509609575
1357,55.44316154557254
1358,55.62178417330955
1359,55.80023967124493
1360,55.97742873097746
1361,56.15586639069455
1362,56.33401750992553
1363,56.51225891161541
1364,56.688560350655926
1365,56.865344964548115
1366,57.04317736675849
1367,57.219297751651624
1368,57.39567182309765
1369,57.56699425424034
1370,57.73949852376832
1371,57.91415963705981
1372,58.08854839764691
1373,58.26382060162094
1374,58.438650425317974
1375,58.613218960520044
1376,58.786532309893616
1377,58.96108210367481
1378,59.13753343643061
1379,59.311002173991625
1380,59.48526192738037
1381,59.65846994094966
1382,59.831530657503166
1383,60.004934853834584
1384,60.177106670163674
1385,60.35051952216996
1386,60.52260553440994
1387,60.69382612965042
1388,60.866256148536856
1389,61.03739594492656
1390,61.20978543267258
1391,61.38273166850883
1392,61.55771450949341
1393,61.7320556262319
1394,61.90113221068458
1395,62.06958987671735
1396,62.23941969309557
1397,62.40942540784837
1398,62.57987113197828
1399,62.75521066205481
1400,62.92783675080356
1401,63.09857014442177
1402,63.26956211693139
1403,63.44102582374917
1404,63.60972144558642
1405,63.77867530761572
1406,63.946673206752386
1407,64.11380892535736
1408,64.28281810844243
1409,64.45167457530889
1410,64.61993406400944
1411,64.78840926719153
1412,64.95617425339671
1413,65.12502150008507
1414,65.292918955756
1415,65.46121777132966
1416,65.62856021004193
1417,65.79539930241478
1418,65.96336190144893
1419,66.13095787618388
1420,66.3011946598368
1421,66.47191021523675
1422,66.64269290857001
1423,66.81511773405323
1424,66.98787990507387
1425,66.97628434839784
1426,66.96360205286456
1427,66.94646358985761
1428,66.92859609318776
1429,66.91125143694205
1430,66.89320393985764
1431,66.87670234638867
1432,66.86011773370349
1433,66.84600386473326
1434,66.8357419218324
1435,66.82365163686138
1436,66.81150904150284
1437,66.79692430379237
1438,66.78372560314013
1439,66.76809029224282
1440,66.75363185212719
1441,66.7389560040246
1442,66.72406376404172
1443,66.70986341358363
1444,66.69558576418109
1445,66.68063760100881
1446,66.66731147376382
1447,66.65721575746025
1448,66.64386565775649
1449,66.63129505806756
1450,66.61810557759341
1451,66.60505244282115
1452,66.59307607406419
1453,66.57730253579469
1454,66.56386971794367
1455,66.5497367688532
1456,66.5372828702512
1457,66.52299487167267
1458,66.50841766063914
1459,66.49536192916312
1460,66.48152150426907
1461,66.46316006960278
1462,66.44449237456179
1463,66.42427967910368
1464,66.40569707311411
1465,66.38967662229629
1466,66.37644661068174
1467,66.36115466666257
1468,66.34333654497289
1469,66.3259262937605
1470,66.31097624891791
1471,66.29792254964667
1472,66.28631028375456
1473,66.27164817183453
1474,66.2579433023438
1475,66.2444677329827
1476,66.22665360043321
1477,66.20851646065822
1478,66.19171778935797
1479,66.17249184089053
1480,66.15503925213682
1481,66.13754835260812
1482,66.11783373481686
1483,66.0993705018788
1484,66.08586422368475
1485,66.0732097392117
1486,66.05754740755272
1487,66.0384272088583
1488,66.02033473989411
1489,66.00079936984928
1490,65.98115576622749
1491,65.96230344186768
1492,65.94277194805898
1493,65.92353662887896
1494,65.90896201454493
1495,65.89446774745825
1496,65.8817277599693
1497,65.86813183908473
1498,65.85634661022112
1499,65.84309853458872
1500,65.82828046997801
1501,65.81323434713966
1502,65.79840962142418
1503,65.78549256892379
1504,65.77112098663008
1505,65.75762486944717
1506,65.74647571981876
1507,65.73494715054585
1508,65.72193642858429
1509,65.70808618137849
1510,65.69582451403312
1511,65.68466527866296
1512,65.672039771887
1513,65.66036921190556
1514,65.6475943006482
1515,65.63424777611587
1516,65.62207665466366
1517,65.60944463731315
1518,65.5973384334246
1519,65.58513618917499
1520,65.75725302314767
1521,65.92911910596632
1522,66.09749330117947
1523,66.26710947290707
1524,66.43941914027428
1525,66.608695633195
1526,66.7782195655326
1527,66.94844020446838
1528,67.11722573243047
1529,67.28593174107843
1530,67.45535850404849
1531,67.62529158639578
1532,67.79683214055459
1533,67.96995626933976
1534,68.14233713904561
1535,68.31068367373298
1536,68.47954251149935
1537,68.65045345936284
1538,68.82296175566144
1539,68.9966354821982
1540,69.16930801052828
1541,69.34025666702885
1542,69.51026772571934
1543,69.68005170464988
1544,69.84940459331247
1545,70.01988599387468
1546,70.19139753270595
1547,70.36315684965348
1548,70.53632388047893
1549,70.7068347479721
1550,70.69399360197971
1551,70.67945022334713
1552,70.66367721194618
1553,70.64880401444887
1554,70.63623093096027
1555,70.62381357435848
1556,70.61287189750547
1557,70.60246043721911
1558,70.59089032070341
1559,70.57730753386775
1560,70.56222543352388
1561,70.54759327776866
1562,70.53222670677387
1563,70.51640879875828
1564,70.5039694642678
1565,70.49320790072916
1566,70.48339838621233
1567,70.47489365830803
1568,70.46717791402668
1569,70.45970174378586
1570,70.45248419007113
1571,70.44541916441011
1572,70.4385690252974
1573,70.42916440822009
1574,70.41916115711041
1575,70.40912136399626
1576,70.39727562066943
1577,70.3868337526191
1578,70.3769678633137
1579,70.36787812465553
1580,70.35897647758358
1581,70.34895218941824
1582,70.33781835657373
1583,70.32443442446903
1584,70.31194293012976
1585,70.29982088259302
1586,70.2893860143511
1587,70.27934053859988
1588,70.2681961684102
1589,70.2576811787205
1590,70.24713770056755
1591,70.23709640212142
1592,70.22731383310118
1593,70.21819135340958
1594,70.210000374918
1595,70.20077843022409
1596,70.19145856349883
1597,70.1836843745937
1598,70.176449622429
1599,70.1695859353029
1600,70.16208093789945
1601,70.15504342223397
1602,70.14879790086391
1603,70.14280463597989
1604,70.13764216539585
1605,70.13159753096153
1606,70.12399600396317
1607,70.11584284701271
1608,70.10760975677937
1609,70.10301250179552
1610,70.09827844951059
1611,70.09432122527082
1612,70.08987235867026
1613,70.08304438561541
1614,70.07653193074376
1615,70.06943269634773
1616,70.06163893808849
1617,70.05378052569986
1618,70.04569032937763
1619,70.03790195269079
1620,70.0280619175102
1621,70.01862670450402
1622,70.00977367974838
1623,70.00136770180868
1624,69.99432390136822
1625,69.98690497148814
1626,69.9804226985809
1627,69.97499099886048
1628,69.96900699178497
1629,69.96337402879473
1630,69.95662222568214
1631,69.9505392804771
1632,69.94585336127464
1633,69.94157185027785
1634,69.93890514960079
1635,69.93616438644919
1636,69.93245580589272
1637,69.92790307118943
1638,69.9241661527042
1639,69.9239198799236
1640,69.92046393218719
1641,69.91610749314583
1642,69.91101912266886
1643,69.90686537696546
1644,69.90401713290589
1645,69.90200318305051
1646,69.89898686835545
1647,69.89518183346874
1648,69.8921791044209
1649,69.89028147931586
1650,69.88885254021477
1651,69.88722741834988
1652,69.88499734004424
1653,69.88227321084278
1654,69.87875844214724
1655,69.87475184292475
1656,69.87310248516893
1657,69.87104871920702
1658,69.86823942568651
1659,69.86462974562909
1660,69.86227814916822
1661,69.85941925486452
